strength,angle,distance
15,228.3125,1407.0
15,152.8125,1059.75
15,155.09375,1125.75
15,157.765625,1049.5
15,162.4375,1061.0
15,164.90625,1028.0
15,167.171875,1183.0
15,169.46875,1201.0
15,171.921875,1218.25
15,174.234375,1241.0
15,176.59375,1269.0
15,179.0,1298.25
15,181.140625,1338.25
15,183.46875,1368.0
15,185.921875,1289.75
15,188.34375,1223.5
15,190.78125,1166.5
15,193.140625,1156.5
15,195.625,1046.25
15,197.734375,1273.75
15,200.078125,1339.75
15,202.375,1421.25
15,204.875,1474.0
15,207.203125,1609.75
15,209.59375,1513.5
15,212.0,1544.25
15,214.390625,1511.25
15,216.796875,1493.5
15,219.21875,1469.5
15,221.546875,1446.5
15,224.0,1429.75
15,226.375,1414.75
15,228.703125,1401.25
15,231.0625,1395.25
15,233.46875,1386.75
15,235.859375,1384.5
15,238.21875,1384.0
15,240.609375,1386.5
15,242.984375,1388.0
15,245.328125,1395.25
15,247.6875,1400.75
15,250.046875,1414.0
15,252.46875,1407.0
15,254.8125,1443.0
15,257.15625,1459.75
15,260.40625,790.5
15,268.953125,1625.25
15,271.453125,1473.5
15,273.734375,1537.75
15,276.375,1280.25
15,278.671875,1402.5
15,280.875,1822.0
15,283.171875,1903.25
15,285.53125,2067.75
15,287.953125,1986.75
15,290.328125,1941.0
15,292.703125,1903.25
15,295.171875,1762.25
15,297.546875,1772.75
15,299.65625,2211.5
15,302.078125,2038.25
15,304.375,2186.5
15,307.109375,1443.0
15,309.4375,1473.5
15,314.375,1244.5
15,316.765625,1265.25
15,333.28125,1914.0
15,335.734375,1784.75
15,338.140625,1790.5
15,340.53125,1799.75
15,343.3125,1226.0
15,345.65625,1264.5
15,348.03125,1112.75

