strength,angle,distance
15,151.09375,1108.0
15,76.75,326.0
15,78.6875,327.5
15,81.421875,328.5
15,83.453125,330.5
15,86.015625,333.25
15,88.125,336.75
15,91.046875,340.0
15,93.1875,345.0
15,95.609375,349.75
15,98.0,355.5
15,100.046875,362.75
15,102.4375,370.25
15,104.546875,379.0
15,106.8125,388.75
15,109.046875,399.75
15,111.34375,411.75
15,113.421875,425.5
15,116.046875,440.5
15,118.125,457.75
15,120.296875,477.5
15,122.734375,498.25
15,124.953125,522.75
15,127.125,551.75
15,129.375,584.25
15,131.453125,621.5
15,133.65625,664.25
15,136.03125,715.0
15,138.203125,776.0
15,140.4375,848.25
15,144.84375,1040.75
15,147.203125,1017.5
15,149.65625,1005.0
15,152.171875,937.5
15,156.84375,1107.25
15,159.140625,1116.25
15,161.765625,995.25
15,166.515625,967.75
15,168.921875,989.75
15,171.171875,1069.5
15,173.5,1128.75
15,175.921875,1132.75
15,180.59375,1047.0
15,182.8125,1178.75
15,185.171875,1200.0
15,187.53125,1220.75
15,189.890625,1238.25
15,192.25,1267.25
15,194.5,1303.5
15,196.90625,1340.0
15,199.234375,1353.25
15,201.6875,1275.0
15,204.21875,1209.0
15,206.625,1152.5
15,209.0625,1128.5
15,211.359375,1220.25
15,213.6875,1275.5
15,216.046875,1342.0
15,220.65625,1517.5
15,223.0,1602.25
15,225.4375,1501.0
15,227.765625,1538.75
15,230.125,1511.25
15,232.5625,1480.5
15,234.9375,1457.0
15,237.34375,1442.25
15,239.703125,1422.75
15,242.046875,1410.0
15,244.453125,1398.5
15,246.828125,1393.25
15,249.265625,1385.75
15,251.640625,1383.25
15,254.0,1384.75
15,256.375,1395.0
15,258.734375,1387.0
15,261.125,1394.25
15,263.5,1402.0
15,265.875,1413.5
15,268.25,1423.25
15,270.5625,1443.25
15,272.9375,1460.75
15,276.1875,789.0
15,280.46875,1120.25
15,282.515625,1583.5
15,284.8125,1622.0
15,287.28125,1583.75
15,289.671875,1546.5
15,292.21875,1278.25
15,294.484375,1408.25
15,296.6875,1824.5
15,298.890625,1897.0
15,301.203125,2087.0
9,303.65625,1822.75
15,306.015625,1889.75
15,308.375,1915.0
15,310.78125,1762.0
15,312.984375,2223.75
15,315.359375,2252.5
15,317.75,2202.25
15,320.140625,2195.5
15,323.078125,1447.0
14,325.375,1491.75
15,328.03125,1264.75
15,330.40625,1245.5
15,332.765625,1271.0
15,342.125,1561.5
15,349.015625,1910.75

