strength,angle,distance
15,167.8125,1295.25
15,89.484375,489.75
15,91.625,513.5
15,93.859375,542.5
15,96.265625,575.25
15,98.34375,613.5
15,100.671875,655.75
15,102.78125,709.75
15,104.984375,771.5
15,111.734375,1048.25
15,114.109375,1024.25
15,116.578125,1008.5
15,119.0,983.25
15,123.6875,1056.25
15,125.984375,1118.25
15,128.328125,1077.5
15,130.84375,990.25
15,133.1875,972.25
15,135.5625,980.0
15,138.0,1006.5
15,140.25,1071.25
15,142.578125,1138.75
15,144.875,1162.5
15,147.46875,1020.5
15,149.578125,1190.5
15,151.984375,1209.5
15,154.3125,1229.5
15,156.890625,1253.75
15,159.1875,1283.0
15,161.609375,1319.0
15,163.96875,1360.0
15,166.375,1339.0
15,168.796875,1266.75
15,171.25,1202.25
15,173.71875,1151.75
15,176.21875,1039.5
15,178.390625,1244.0
15,180.46875,1306.5
15,182.84375,1385.25
15,185.171875,1463.5
15,187.578125,1401.25
15,189.828125,1605.5
15,192.234375,1546.5
15,194.578125,1536.5
15,196.984375,1518.25
15,199.359375,1491.0
15,201.71875,1468.25
15,204.265625,1447.25
15,206.625,1432.25
15,209.078125,1419.5
15,211.40625,1406.75
15,213.84375,1400.5
15,216.1875,1397.0
15,218.640625,1395.5
15,221.03125,1394.0
15,223.40625,1397.0
15,225.765625,1401.25
15,228.0625,1407.0
15,230.390625,1416.0
15,232.859375,1348.0
15,235.203125,1439.5
15,237.53125,1464.0
15,239.921875,1482.0
15,249.359375,1608.25
15,251.78125,1469.0
15,254.125,1577.5
15,256.734375,1290.5
15,258.921875,1414.25
15,261.09375,1799.0
15,263.484375,1878.5
15,265.8125,2009.5
15,268.15625,2005.25
15,272.96875,1879.25
15,275.46875,1765.25
15,277.859375,1747.25
15,280.0625,2284.0
15,282.5,2042.5
15,284.875,2197.75
15,287.59375,1460.25
15,290.0,1450.75
15,292.078125,1990.75
15,294.90625,1246.25
15,297.265625,1253.0
9,306.40625,1586.25
15,310.8125,2569.0
15,313.328125,1953.0
15,315.78125,1798.25
15,318.140625,1784.25
15,320.546875,1805.0
15,323.4375,1267.75
15,325.828125,1254.75
15,328.21875,1274.0
15,330.9375,1044.25
15,333.5,933.0
10,336.359375,722.25
15,338.921875,656.75
15,341.46875,606.0
15,343.984375,562.75
15,346.546875,528.5
15,349.234375,497.75

